doc	sentence
BR-TU.08441	A interferência é o fenômeno no qual duas ou mais ondas superpõem-se para formar uma nova onda resultante (Hecht & Zajac, 1974).
BR-TU.07002	Na situação 'sem bombeamento' foi simulada a superfície potenciométrica sem a interferência de poços, utilizando os níveis de água de poços antigos e o valor do escoamento básico dos córregos caçapava velha e Divisa como parâmetros de calibração.
BR-TU.19978	Classificação geoquímica das rochas vulcânicas do Andar Alagoas abrangidas por este estudo segundo os diagramas.
BR-TU.19978	Estudo realizado nas rochas vulcânicas associadas ao estágio pré-evaporítico da Bacia de Campos, a partir de testemunhos de 4 furos de sondagens.
BR-TU.24214	Neste contexto, algumas considerações se fazem pertinentes em relação a área de estudos: os modelos de evolução do planalto de Poços de Caldas supõem domeamento acompanhado de sucessivas atividades vulcanicas, abatimento central e formação do dique anelar, configurando formação de caldeira.
BR-TU.21230	O isolamento oceânico da Ilha da Trindade não deixa perceptível que ela é parte de uma grande cadeia vulcânica submarina orientada leste-oeste, conhecido como lineamento Vitória-Trindade.
BR-TU.21230	Almeida (1960) foi o primeiro a identificar a ilha como sendo de origem vulcanica, e posteriormente comprovado por Guazelli (1978).
BR-BG.03929	Os sistemas deposicionais siliciclásticos do trato transgressivo (marinho raso) e do trato de mar baixo (marinho profundo) desta seqüência são arenitos arcoseanos ou líticos, compostos por quartzo, k-feldspato, plagioclásio e fragmentos de rochas ígneas.
BR-BG.03929	Datações recentes, realizadas pelo método Ar/Ar em rochas intrusivas e extrusivas na Bacia de Santos, posicionam estes eventos em 82 ±1 Ma e 48,9 Ma.
BR-BG.04148	A Bacia de Santos, essencialmente marítima, compreende uma das maiores depressões do embasamento na costa brasileira, abrangendo os litorais dos estados do Rio de Janeiro, São Paulo, Paraná e Santa Catarina (fig. 1).
BR-BG.04148	Os arenitos turbidíticos cretácicos (Turoniano), da Formação Itajaí/Membro llhabela, apresentam porosidade média de 21% a 4 700 m de profundidade, no poço 1-SPS-20 (Campo de gás de Merluza, Bacia de Santos).
BR-BG.04245	A exploração da Bacia de Santos, iniciada no final da década de 60, e com ampla contribuição dos contratos de risco, encontrava-se em uma fase de relativo pessimismo até 1984, quando a Pecten descobriu o campo de gás de Merluza.
BR-TU.20762	A compreensão desses sistemas deposicionais avançou significativamente nos últimos anos.
BR-TU.13870	Além disso, introduz novos dados ao detalhar as fácies que ocorrem no contato entre as duas formações (Quissamã e Outeiro), caracteristicamente alóctones, e aventar dois possíveis processos deposicionais: correntes de retorno e/ou fluxos gravitacionais.
BR-BG.03872	A deposição continental foi predominante apenas nas porções mais proximais das bacias marginais e nas bacias interiores (Recôncavo-Tucano e Araripe), manifestando-se através de sistemas deposicionais dominados por leques aluviais e canais fluviais entrelaçados.
BR-BG.03918	As bacias sedimentares brasileiras têm tendência a apresentar grupos específicos de rocha-reservatório, formados em ambientes deposicionais distintos e com importantes diferenças de geometria e processos deposicionais.
BR-BG.03918	Em 1977, Harris e Hewitt publicaram um estudo em que demonstram a importância do controle da geometria, resultado dos diversos modelos deposicionais que geram variações petrofísicas e descontinuidades nos reservatórios.
BR-BG.04210	O Campo de Roncador constitui atualmente a segunda maior reserva brasileira de petróleo conhecida, situando-se quase inteiramente sob águas com profundidades superiores a 1000m, tendo sido descoberto em 1996 (Rangel et al. 1998).
BR-TU.19614	Os turbiditos do Maastrichtiano apresentam uma contribuição vulcânica expressiva em função do intenso magmatismo na borda da bacia que estava posicionada exatamente sobre a pluma do manto ao final do Cretáceo.
BR-BG.04188	O poço encontrou um net pay total de 153 m em turbiditos maastrichtianos, dos quais somente a parte superior estava associada às anomalias de amplitude sísmica observadas (fig. 34).
BR-TU.19543	Estruturas em horst (blocos altos limitados por falhas normais) e graben (bloco abatido limitado por falhas normais) podem ser observadas no horizonte Maastrichtiano.
BR-TU.20762	A partir do Maastrichtiano, instalou-se um sistema de leques costeiros - plataforma - talude - bacia, que deu origem aos clásticos e carbonatos da Formação Emborê e à parte superior dos pelitos Ubatuba e turbiditos Carapebus.
BR-BG.04260	O Canyon de Almada constitui uma das poucas exposições dos sedimentos siliciclásticos da megasseqüência marinha desenvolvida entre o Cenomaniano e o Recente na Margem Atlântica Brasileira.
BR-BG.03878	Essa fácies constitui a deposição normal nesses sítios de água profunda e denota ausência ou insignificância de atividades turbidíticas num intervalo de tempo.
BR-BG.03977	As acumulações de gás do campo supergigante de Elmworth, oeste canadense, compõem o que classi-camente é denominado “campo de gás em bacia profunda" (“deep basin gas fieid").
BR-BG.04237	Esta unidade, em uma fase posterior, se constitui na principal fonte de sedimentos para os sistemas de águas profundas.
BR-TU.21888	Grande parte dos seus reservatórios siliciclásticos situam-se em águas profundas, acima de 1,500-2,000 m de coluna de água.
BR-TU.23141	Os elementos que constituem o sistema incluem a rocha geradora, a rocha reservatório, a rocha selante e trapa, e os processos compreendem a geração, a migração, a acumulação e formação da trapa.
BR-BG.04167	O presente estudo trata da caracterização de estruturas denominadas como bandas de deformação (deformation bands) (Aydin 1978) nas escalas meso e microscópica, através do estudo da ocorrência de casos nas bacias Potiguar (RN), Sergipe-Alagoas (SE) e de Tucano (BA).
BR-TU.11773	A armadilha inclui o reservatório e a rocha selante, e a geometria da armadilha formada pela interface reservatório-selante.
BR-BG.03839	Em muitos prospectos exploratórios estão presentes, em relações temporais e espaciais adequadas, estruturas bem definidas, rochas geradoras, rochas selantes e rochas potenciaímente reservatórios, e, mesmo assim, resultam insucessos exploratórios explicados pela baixa permoporosidade destes possíveis reservatórios.
BR-BG.03839	O segundo, mais otimista, é configurado nas porções marítimas das bacias de Sergipe-Alagoas e Potiguar, onde os reservatórios somente atingiram um soterramento da ordem de 3000m a partir do Turoniano (e mesmo do Terciário em algumas áreas), bem como registram duas fases importantes de desenvolvimento de porosidade secundária.
BR-BT.04885	Para avaliar a compressibilidade à uma pressão P é necessária a utilização dos valores de "volume relativo" apresentado nas análises "PVT".
BR-BT.04885	Nesta parte, pretendeu-se desenvolver equações e gráficos, com vistas ao cálculo da viscosidade acima da pressão de saturação, para os Membros Catu e Santiago de Miranga.
BR-BT.05368	Os dados foram obtidos de “análises de fluido sob pressão” em laboratório (PVT).
BR-BT.05368	É fornecido um conjunto de diagramas "zig-zag" para determinação grafica, a partir de dados de superfície (temperatura, solubilidade, °API e densidade do gás), da pressão de saturação inicial em reservatórios de petróleo.
BR-BT.05473	Amostras de petróleo submetidas à análise P.V.T. fornecem dados básicos para uma série de estudos de avaliação de poços e engenharia de reservatório, de fundamental importância para o cálculo de reservas petrolíferas e seleção de métodos de produção.
BR-BG.04135	Ocorrência de rochas piroclásticas na Bacia do Rio do Peixe, Província Borborema, NE do Brasil.
BR-BG.03840	A Bacia do Rio do Peixe (nordeste do Brasil) foi formada em contexto intra-continental durante o Cretáceo Inferior (Berriasiano a Barremiano / Rio da Serra a Aratu).
BR-BG.03949	Modelo deposicional integrado da Formação Antenor Navarro, na Bacia do Rio do Peixe, e das formações Serraria e Bananeiras, na Bacia de Sergipe-Alagoas (Garcia, em edição).
BR-TU.24497	Dentre os escassos trabalhos que abordam os aqüíferos da bacia do Rio do Peixe, e, em particular, a qualidade das águas subterrâneas, se destacam os de Albuquerque (1971, 1986), que representam até hoje, os estudos mais significativos existentes sobre a hidrogeologia da Bacia do Rio do Peixe.
BR-TU.24497	As pesquisas hidrogeológicas das águas subterrâneas da Bacia Sedimentar do Rio do Peixe/PB, objetivam seu melhor aproveitamento e gestão.
BR-TU.21879	Revisão Bibliográfica em Realidade Virtual e Modelagem 3D Aplicada à Engenharia Civil e à Exploração e Produção de Petróleo e Gás Natural.
BR-BG.03964	Destacam-se nesse projeto a expansão do espaço físico e a atualização dos equipamentos, objetivando o uso de grade de computadores, colaboração à distância e visualização 3D de alta resolução, além da adaptação e atualização dos softwares existentes e o desenvolvimento de novas ferramentas (Coordenação: Prof. Luiz Fernando Martha).
BR-BG.03964	O laboratório assume grande importância no cenário de P&D no Brasil, viabilizando a caracterização de sistemas com múltiplas porosidades a partir de imagens 3D com resoluções espaciais desde 50pm até 50nm.
BR-BG.03967	Destacam-se os estudos de integração de sedimentologia e estratigrafia para suporte à modelagem geológica 3D dos campos de Marlim, Marlim Sul, Marlim Leste, Albacora, Barracuda e Caratinga.
BR-TU.09722	Este estudo usou uma amostra de mais de 1.000 alunos de diferentes etnias, demografias e até com alunos com necessidades educativas especiais (NEE), em cujas aulas de conteúdos curriculares iguais, a única variável em estudo foi o uso ou não de projeção 3D.
BR-BG.03964	Carste hipogênico na Formação Salitre, caverna da Toca da Barriguda, BA (esquerda) e carste epigênico na Formação Salitre, Lajedo Soledade, próximo a Mossoró, RN (direita).
BR-BT.05243	Não raro ocorre perda de circulação nesses contatos, provàvelmente em virtude das discordâncias terem proporcionado o desenvolvimento de topografia cárstica.
BR-TU.22834	Este estudo apresenta primeiramente um levantamento detalhado de aspectos geológicos e geomorfológicos do carste da região, baseado em fotointerpretação, geoprocessamento e trabalhos de campo.
BR-TU.24950	Caracterização das formações superficiais do Carste de Lagoa Santa: um estudo de caso da Bacia Poligonal da Vargem da Lapa (Município de Lagoa Santa, Minas Gerais).
BR-TU.16280	A região que deu origem ao termo carste e relevos cársticos, situa-se a nordeste da Baía de Trieste, Figura I.
BR-BG.04144	O mapa do gradiente geotérmico médio total (CGMT) mostra o comportamento térmico médio regional da bacia, interrelacionando os gradientes geotérmicos médios de todos os poços, obtidos pela interpolação gráfica dos respectivos valores de temperatura e profundidades de medição.
BR-BG.04144	A TSR escolhida foi então utilizada para todos os poços no cálculo do gradiente geotérmico médio para cada poço e nos mapas finais.
BR-BT.04992	Tendo em vista que o fator temperatura contribui para acelerar as reações de transformação da matéria orgânica em hidrocarbonetos, procurou-se definir as áreas de maior gradiente geotérmico (medido em °C/km) nas diversas bacias sedimentares brasileiras.
BR-TU.18840	Devido à impossibilidade de estimar o gradiente geotérmico com a aplicação simples de geotermómetros, os pontos correspondentes às ocorrências termais encontram-se sem classificação.
BR-BG.04129	Com isto seria possível melhorar a qualidade dos gradientes geotérmicos calculados e, conseqüentemente, dos trabalhos de geometria.
BR-TU.24719	A sísmica 4D mostrou mudanças dramáticas e complexas no reservatório comparados aos dados sísmicos do modelo base.
BR-BP.03703	Esse processo de calibração, chamado de ajuste de histórico, resulta em um problema inverso, onde a resposta é conhecida e o objetivo é determinar um modelo plausível para sua reprodução.
BR-TU.06917	Uma alternativa para a melhora da qualidade do modelo é a utilização de mapas de saturação e pressão obtidos a partir da sísmica 4D.
BR-TU.18410	Novos ramos na linha de ajuste estão sendo desenvolvidos de forma a auxiliar a busca de modelos mais confiáveis, sendo destaque a utilização da sísmica 4D (S4D).
BR-TU.21247	A ideia é usar os conhecimentos de engenharia para minimizar possíveis informações incorretas geradas pela sísmica 4D, antes de usá-la para atualizar modelos de simulação de reservatórios em um procedimento de ajuste de histórico.
BR-BG.03868	Grau API dos diversos óleos e reservatórios da Bacia de Campos, plotados contra temperatura.
BR-TU.22537	Determinação Remota do grau API e composição SARA de Petróleos Exsudados em Bacias Oceânicas.
BR-BT.04724	Nesta região, separaram-se os óleos produzidos no Espírito Santo daqueles da Bacia de Campos e dos provenientes das águas profundas, ainda não colocados em produção.
BR-TU.20935	O grau API, ao separar os petróleos segundo sua densidade volumétrica, proporciona indicação a respeito da proporção de compostos leves ou pesados presentes em um determinado tipo de petróleo.
BR-TU.25058	Por outro lado, a petrolífera brasileira Petrobras define óleos pesados como aqueles óleos com grau API dentro do intervalo 10 - 19.
BR-BP.03746	Neste trabalho, é proposto um arcabouço para a análise de sistemas de elevação artificial por gas lift contínuo usando um algoritmo de otimização acoplado a um modelo estacionário de redes de escoamento bifásico para qualquer topologia de rede.
BR-TU.06207	O trabalho contribui também com a aplicação de técnicas de controle e otimização sobre um sistema constituído de um manifold de gas lift e poços operando via injeção contínua de gás.
BR-TU.06207	Seção de duto que recebe gás da unidade de compressão e de onde saem dutos que alimentam os poços operando via gas lift contínuo.
BR-TU.22695	A válvula de gás lift é ajustada para abrir em uma pressão pré-determinada.
BR-TU.19242	Um dos principais métodos de elevação artificial é o gas lift, devido ao seu baixo custo operacional, e garantia de bom funcionamento.
BR-BG.03996	Comparando-se, por meio de histogramas, as distribuições das porosidades de laboratório e de perfis, ajustaram-se as porosidades máxima e mínima e definiu-se, simultaneamente, o erro da porosidade média.
BR-BG.04188	Mas foi em 1974 que se deu a primeira grande descoberta de petróleo na plataforma continental brasileira, que foi o Campo de Garoupa, em carbonatos albianos da Bacia de Campos.
BR-TU.22439	Nesta porção da plataforma são encontrados depósitos sedimentares formados por carbonatos e, secundariamente, por siliciclásticos com influência carbonática.
BR-TU.24596	As rochas ígneas e metamórficas são mais radioativas do que as sedimentares.
BR-TU.20602	Embora eles representem uma pequena parte da sequência, estes arenitos turbidíticos constituem reservatórios importantes na Bacia de Campos devido à alta permeabilidade e porosidade que possuem.
BR-TU.20913	Devido ao viés econômico da exploração petrolífera, grande parte das informações paleontológicas decorrentes da Bacia do Espírito Santo é relativa à microfósseis de diferentes grupos.
BR-BG.03967	Deu-se início ao Banco de Imagens de microfósseis, com fotografias e diagnoses de centenas de espécies de foraminíferos, ostracodes, nanofósseis calcários e palinomorfos, utilizado por todos os bioestratígrafos da Companhia.
BR-BG.03964	Estudo taxonômico dos ostracodes não marinhos da seção pré-sal das bacias de Santos e Campos, com intuito de refinar o arcabouço biocronoestratigráfico do Andar Alagoas e possibilitar correlações geológicas mais seguras.
BR-BG.03873	Na Petrobras, o emprego dos nanofósseis calcários com propósitos biocronoestratigráficos (datação de amostras de poços) teve início concomitante à perfuração dos primeiros poços nas áreas marítimas das bacias marginais brasileiras, no final da década de 1960.
BR-TU.20935	A quinta e última fase iniciou-se em 2006, com as descobertas, na Bacia de Santos, de reservas gigantes de petróleo na camada geológica do Pré-sal, como resultado de prospecções iniciadas em 2001 e da perfuração de poços pioneiros, a partir de 2005.
BR-TU.20375	Análise exergética de sistemas de compressão de gás em plataformas offshore de produção de petróleo.
BR-TU.19079	O subsistema “Compressão de exportação” é o que permite que o gás adquira energia suficiente e supere as perdas de carga ao longo dos gasodutos.
BR-TU.19901	Esquema Simplificado de uma Planta de Tratamento e Compressão de Gás.
BR-TU.19238	Quando há uma estação de compressão de gás natural, é imprescindível que haja, à montante da unidade, filtros conhecidos como scrubbers para remover todo o arraste de líquidos e sólidos do escoamento de gás.
BR-TU.20327	Esta análise é principalmente focado em Unidades de Compressão de gás natural, visto a grande ênfase que vêm sendo dada à sua utilização, trazendo como conseqüência a necessidade da extensão das redes de gasodutos.
